"Description_1";"Description_2";"id"
"Sweet Patootie";" gin, Cointreau, orange juice";3852.0
"Tahitian Club";" gold rum, maraschino liqueur or crème de prunelle, lemon juice, pineapple juice, lime juice";3853.0
"Tahiti Club";" gold rum, maraschino liqueur or crème de prunelle, lemon juice, pineapple juice, lime juice";3854.0
"Tailspin";" gin, green Chartreuse, sweet vermouth, orange bitters";3855.0
"Tango";" gin, sweet vermouth, dry vermouth, orange juice, Curaçao";3856.0
"Tango Variation";" white rum, Benedictine, sweet vermouth, dry vermouth, orange juice";3857.0
"T'n T";" Tuaca, Tequila";3858.0
"Teggim";" Tequila, Rose's Lime Juice";3859.0
"Temptation";" rye whiskey, Dubonnet, pastis, Curaçao";3860.0
"Temptation Variation";" pastis, white rum, lemon juice";3861.0
"Tempter";" apricot flavored brandy, Port";3862.0
"Tennessee";" Tennessee whiskey, maraschino liqueur, lemon juice";3863.0
"Teqgim";" Tequila, Rose's Lime Juice";3864.0
"Tequila Fizz";" Tequila, lemon juice, egg, sugar, Angostura bitters";3865.0
"Tequila Old Fashioned";" Tequila, soda, sugar, Angostura bitters";3866.0
"Tequila Sour";" Tequila, lemon juice, sugar";3867.0
"Tequila Screwdriver";" Tequila";3868.0
"Tequila Sunrise";" Tequila, crème de cassis, grenadine, soda";3869.0
"Tequila Sunrise Variation";" Tequila, Curaçao, lime juice, crème de cassis";3870.0
"Tequini";" Tequila, dry vermouth";3871.0
"Tequonic";" Tequila, lemon juice or lime juice";3872.0
"Terrazza";" pineapple juice, vodka, Galliano, cream";3873.0
"Thanksgiving (day) Special";" dry vermouth, gin, apricot flavored brandy, lemon juice";3874.0
"Third Degree";" gin, dry vermouth, pastis";3875.0
"Third Degree Variation";" gin, orange juice, pastis, dry vermouth, Angostura bitters";3876.0
"Third Rail";" brandy, apple brandy, white rum, pastis";3877.0
"Third Rail Variation";" sweet vermouth, Curaçao, crème de menthe";3878.0
"Thistle";" sweet vermouth, blended Scotch, aromatic bitters";3879.0
"Three Miller";" white rum, brandy, lemon juice, lemon juice or grenadine";3880.0
"Three Stripes";" gin, orange juice, dry vermouth";3881.0
"Thunder";" brandy, egg yolk, sugar";3882.0
"Thunder & Lightning";" brandy, cayenne pepper, egg yolk, sugar";3883.0
"Thunderclap";" brandy, Bourbon or rye whiskey, gin";3884.0
"Tidbit";" gin, vanilla ice cream, cocktail Sherry";3885.0
"Tiger's Milk";" brandy, sloe gin";3886.0
"Tiger Tail";" pastis";3887.0
"Tinton";" applejack, Port";3888.0
"Tipperary";" Irish whiskey, sweet vermouth, green Chartreuse";3889.0
"Tipperary Variation";" dry vermouth, gin, grenadine, orange juice";3890.0
"Tipperary Variation";" gin, dry vermouth, sweet vermouth, crème de menthe, orange juice";3891.0
"Tipperary Variation";" sloe gin, dry vermouth, lemon juice";3892.0
"T.n.t. Cocktail";" pastis, Bourbon or rye whiskey";3893.0
"Tom & Jerry";" white rum, brandy, egg white, egg yolk, sugar, allspice";3894.0
"Tom & Jerry Batter (premix)";" egg, egg, brandy, white rum, sugar, cinnamon, clove, cream";3895.0
"Tom & Jerry Batter (premix) Variation";" egg, sugar, Bourbon or rye whiskey, white rum";3896.0
"Tom & Jerry Batter (premix) Variation";" egg, egg, egg, sugar, blended whiskey, cinnamon, clove";3897.0
"Tomato Juice Cocktail";" tomato juice, salt, lemon juice, Worcestershire sauce";3898.0
"Tom Collins";" gin, lemon juice, sugar";3899.0
"Torpedo";" apple brandy, brandy, gin";3900.0
"Torridora Cocktail";" white rum, coffee-flavored liqueur, 151 proof rum, cream";3901.0
"Tovarich";" vodka, kummel, lime juice";3902.0
"Trilby";" Bourbon or rye whiskey, sweet vermouth, orange bitters";3903.0
"Trilby Variation";" London dry gin or old tom gin or gin, sweet vermouth, Crème Yvette, orange bitters";3904.0
"Trilby Variation";" parfait amour, sweet vermouth, blended Scotch, pastis, orange bitters";3905.0
"Trinidad";" dry vermouth, Trinidad rum, Angostura bitters";3906.0
"Trinidad Variation";" Trinidad rum, lime juice, sugar, Angostura bitters";3907.0
"Trinity";" gin, sweet vermouth, dry vermouth";3908.0
"Trinity Variation";" blended Scotch, dry vermouth, apricot flavored brandy, crème de menthe, orange bitters";3909.0
"Tropical";" crème de cacao, maraschino liqueur, dry vermouth, aromatic bitters";3910.0
"Tropical Variation";" brandy, crème de vanille, pimento dram or pastis";3911.0
"Tropical Variation";" white rum, lime juice, Curaçao";3912.0
"Tulip";" sweet vermouth, apple brandy, lemon juice, apricot flavored brandy";3913.0
"Turf";" gin, dry vermouth, pastis, aromatic bitters or maraschino liqueur";3914.0
"Turf Variation";" dry vermouth, gin, lemon juice, pastis";3915.0
"Tuxedo";" cocktail Sherry, anisette, maraschino liqueur, Peychaud bitters";3916.0
"Tuxedo Variation";" dry vermouth, gin, maraschino liqueur, orange bitters, pastis, maraschino liqueur";3917.0
"Twin Hills";" blended whiskey, Benedictine, lime juice, lemon juice";3918.0
"Twin Six";" gin, egg white, orange juice, sweet vermouth, grenadine";3919.0
"Twister";" vodka, lime juice";3920.0
"Ulanda";" gin, triple sec or Cointreau, pastis";3921.0
"Union Jack";" gin, Crème Yvette, grenadine";3922.0
"Union Jack Variation";" green Chartreuse, maraschino liqueur, grenadine";3923.0
"Union League";" old tom gin, Port, orange bitters";3924.0
"Vampire";" dry vermouth, gin, lime juice";3925.0
"Vanderbilt (hotel)";" brandy, cherry flavored brandy, aromatic bitters";3926.0
"Van Vleet Cocktail";" white rum, maple syrup, lemon juice";3927.0
"Velvet Hammer";" cream, crème de cacao or crème de cacao, vodka";3928.0
"Velvet Hammer Variation";" dry vermouth, apricot flavored brandy, gin, maraschino liqueur, orange bitters";3929.0
"Venetian Coffee";" brandy, crème de cacao or brown sugar or Kahlua";3930.0
"Vermouth Cassis";" dry vermouth, crème de cassis";3931.0
"Vermouth Cassis Variation";" dry vermouth, crème de cassis";3932.0
"Vermouth Cocktail";" sweet vermouth, dry vermouth, orange bitters";3933.0
"Vermouth Cocktail Variation";" sweet vermouth or dry vermouth, Angostura bitters";3934.0
"Vermouth Cocktail Variation";" dry vermouth, pastis";3935.0
"Victor";" sweet vermouth, gin, brandy";3936.0
"Victory";" sweet vermouth, dry vermouth, grenadine, lemon juice, orange juice";3937.0
"Virgin Mary";" Worcestershire sauce";3938.0
"Vodka Apple";" vodka";3939.0
"Vodka & Tonic";" vodka";3940.0
"Vodka Collins";" vodka, lemon juice, sugar";3941.0
"Vodka Cooler";" soda, vodka, sugar or soda";3942.0
"Vodka Daisey";" vodka, egg white, lemon juice, grenadine, sugar";3943.0
"Vodka Gibson";" vodka, dry vermouth";3944.0
"Vodka Gimlet";" vodka, Rose's Lime Juice";3945.0
"Vodka Grand";" vodka, Grand Marnier, lime juice";3946.0
"Vodka Grasshopper";" vodka, crème de cacao, crème de menthe";3947.0
"Vodka Grasshopper Variation";" cream, crème de cacao, crème de menthe, vodka";3948.0
"Vodka Martini";" vodka, dry vermouth";3949.0
"Vodka Sling";" vodka or ice, water or sugar";3950.0
"Vodka Sling Variation";" vodka, water or sugar";3951.0
"Vodka Sour";" vodka, lemon juice, sugar";3952.0
"Vodka Stinger";" vodka, crème de menthe";3953.0
"Volga Boatman";" vodka, orange juice, cherry flavored brandy";3954.0
"Waikiki Beachcomber";" pineapple juice, Cointreau, gin";3955.0
"Waldorf";" Swedish Punch/Punsch, lemon juice or lime juice, gin";3956.0
"Waldorf Variation";" sweet vermouth, pastis, Bourbon, Angostura bitters";3957.0
"Wallick";" dry vermouth, gin, orange flower water or Curaçao";3958.0
"Warday's (war Days)";" apple brandy, sweet vermouth, gin, Yellow Chartreuse or green Chartreuse";3959.0
"Ward Eight";" Bourbon or rye whiskey, lemon juice, grenadine, sugar";3960.0
"Ward Eight Variation";" lemon juice, Bourbon, grenadine, orange juice";3961.0
"Ward Eight Variation";" Bourbon, grenadine";3962.0
"Ward Eight Variation";" Bourbon, grenadine, crème de menthe, orange bitters";3963.0
"Warsaw";" vodka, dry vermouth, blackberry liqueur, lemon juice";3964.0
"Washington";" brandy, lime juice, egg white, grenadine, sugar";3965.0
"Webster";" gin, lime juice, dry vermouth, apricot flavored brandy";3966.0
"Wedding Belle(s)";" Dubonnet, gin, cherry flavored brandy, orange juice";3967.0
"Weep No More";" Dubonnet, brandy, maraschino liqueur, lime juice";3968.0
"Wembley";" gin, dry vermouth, apple brandy, apricot flavored brandy";3969.0
"Wembley Variation";" blended Scotch, pineapple juice, dry vermouth";3970.0
"Western Rose";" gin, apricot flavored brandy, dry vermouth, lemon juice";3971.0
"What The Hell";" apricot flavored brandy, dry vermouth, gin, lemon juice";3972.0
"Whip";" brandy, sweet vermouth, dry vermouth, Curaçao or pastis";3973.0
"Whiskey Cobbler";" Bourbon or rye whiskey, soda, Curaçao or sugar or soda";3974.0
"Whiskey Cobbler Variation";" blended whiskey, orgeat, lemon juice, orange juice";3975.0
"Whiskey Cocktail";" Bourbon or rye whiskey, sugar, aromatic bitters";3976.0
"Whiskey Collins";" Bourbon or rye whiskey, lemon juice, sugar";3977.0
"Whiskey Cooler";" Bourbon or rye whiskey, lemon juice, sugar";3978.0
"Whiskey Daisey";" Bourbon or rye whiskey, egg white, lemon juice, grenadine, sugar";3979.0
"Whiskey Daisey Variation";" blended whiskey, grenadine, lemon juice, Yellow Chartreuse";3980.0
"Whiskey Daisey Variation";" Bourbon or rye whiskey, lemon juice, triple sec or Curaçao, sugar";3981.0
"Whiskey Eggnog";" Bourbon or rye whiskey, egg, sugar";3982.0
"Whiskey Fix";" Bourbon or rye whiskey, lemon juice, water or sugar";3983.0
"Whiskey Flip";" Bourbon or rye whiskey, cream, sugar";3984.0
"Whiskey Highball";" Bourbon or rye whiskey";3985.0
"Whiskey Milk Punch";" Bourbon or rye whiskey, sugar";3986.0
"Whiskey Orange";" Bourbon or rye whiskey, orange juice, pastis, sugar";3987.0
"Whiskey Rickey";" lime wheel, Bourbon or rye whiskey, lime juice";3988.0
"Whiskey Rickey Variation";" Bourbon, lemon juice, maraschino liqueur, brandy";3989.0
"Whiskey Rickey Variation";" Bourbon, lime juice, Benedictine";3990.0
"Whiskey Sour";" orange juice, Bourbon or rye whiskey, lemon juice, sugar";3991.0
"Whiskey Squirt";" Bourbon or rye whiskey, grenadine, sugar";3992.0
"Whist";" apple brandy or Calvados, Swedish Punch/Punsch, white rum";3993.0
"Whist Variation";" white rum, sweet vermouth, applejack";3994.0
"White Baby";" gin, sirop de citron, Cointreau";3995.0
"White Elephant";" egg white, gin, sweet vermouth";3996.0
"White Elephant Variation";" cream, crème de cacao, vodka";3997.0
"White Lady";" gin, egg white, cream, sugar";3998.0
"White Lady Variation";" gin, Cointreau, lemon juice";3999.0
"White Lady Variation";" gin, Cointreau, grapefruit juice";4000.0
"White Lady Variation";" egg white, gin, triple sec, lemon juice";4001.0
"White Lady Variation";" Cointreau, crème de menthe, brandy";4002.0
"White Lily";" triple sec or Cointreau, gin, white rum, anisette or pastis";4003.0
"White Lion";" white rum, lemon juice, grenadine or falernum, sugar, aromatic bitters";4004.0
"White Lion Variation";" white rum, lemon juice, Curaçao, grenadine or falernum, sugar, aromatic bitters";4005.0
"White Plush Variation";" milk, gin, maraschino liqueur";4006.0
"White Rose";" egg white, gin, cream, anisette";4007.0
"White Rose Variation";" egg white, lime juice, gin, maraschino liqueur, orange juice, sugar";4008.0
"White Russian";" vodka, Kahlua";4009.0
"White Spider";" crème de cacao, crème de menthe, vodka";4010.0
"White Spider Variation";" vodka, crème de menthe";4011.0
"White Way";" brandy, pastis, anisette";4012.0
"White Way Variation";" gin, crème de menthe";4013.0
"White Wine Cooler";" sugar or soda";4014.0
"White Wine Cooler Variation";" lemon juice, brandy, kummel, sugar, orange bitters";4015.0
"White Wing(s)";" vodka or gin, crème de menthe";4016.0
"Why Not?";" dry vermouth, gin, lemon juice, apricot flavored brandy";4017.0
"Widow's Dream";" Benedictine, cream, egg";4018.0
"Widow's Kiss";" apple brandy, Benedictine, Yellow Chartreuse, aromatic bitters";4019.0
"Widow's Kiss Variation";" egg white, Benedictine, Yellow Chartreuse, parfait amour";4020.0
"Wild West";" East Indian Punch, white rum, lemon juice";4021.0
"Will Rogers";" London dry gin, orange juice, dry vermouth, Curaçao";4022.0
"Wilson Special";" gin, dry vermouth";4023.0
"Wine Cooler";" red wine, lemon wheel or soda or 7-Up, grenadine";4024.0
"Wine Cooler Variation";" orange juice, sugar or soda";4025.0
"Woodward";" blended Scotch, dry vermouth, grapefruit juice";4026.0
"Wyoming Swing";" dry vermouth, sweet vermouth, orange juice, sugar";4027.0
"Xanthia";" cherry flavored brandy, gin, Yellow Chartreuse";4028.0
"Xeres";" cocktail Sherry, peach bitters, orange bitters";4029.0
"X.y.z. Cocktail";" white rum, triple sec, lemon juice";4030.0
"X.y.z. Cocktail Variation";" gin, lemon juice, sweet vermouth, dry vermouth, sugar";4031.0
"Yale";" gin, dry vermouth, Crème Yvette, aromatic bitters";4032.0
"Yale Variation";" gin, dry vermouth, maraschino liqueur, orange bitters";4033.0
"Yale Variation";" old tom gin, sweet vermouth, orange bitters";4034.0
"Yashmak";" dry vermouth, pastis, Irish whiskey or rye whiskey, Angostura bitters";4035.0
"Yellow Bird";" white rum, lime juice, triple sec, Galliano";4036.0
"Yellow Bird Variation";" pineapple juice, white rum, banana cordial, Galliano";4037.0
"Yellow Fever";" vodka, soda, lemon juice, sugar or soda";4038.0
"Yellow Parrot";" apricot flavored brandy, Yellow Chartreuse, anisette or pastis";4039.0
"Yellow Rattler";" orange juice, dry vermouth, sweet vermouth, gin";4040.0
"Yolanda";" brandy, gin, sweet vermouth, pastis, grenadine";4041.0
"York Special";" dry vermouth, maraschino liqueur, orange bitters";4042.0
"Zanzibar";" dry vermouth, gin, lemon juice, sugar";4043.0
"Zaza";" gin, Dubonnet";4044.0
"Zaza Variation";" Dubonnet, cocktail Sherry";4045.0
"Zaza Variation";" old tom gin, Dubonnet, orange bitters";4046.0
"Zombie";" dark rum, white rum, lime juice, 151 proof rum, apricot flavored brandy, passion fruit syrup, falernum, orange juice, pineapple juice, lemon juice or papaya nectar";4047.0
"A.1";" London dry gin, Grand Marnier, grenadine, lemon juice";4048.0
"Abbey, The";" London dry gin, orange juice, Lillet Blanc, Angostura bitters";4049.0
"Absinthe";" water, absinthe, Angostura bitters, syrup";4050.0
"Absinthe Drip";" absinthe, water or sugar";4051.0
"Abrame";" slivovitz, rum, Amer Picon, Cointreau";4052.0
"Adet";" dry vermouth, brandy, crème de noyeau";4053.0
"Adonis";" cocktail Sherry, sweet vermouth, orange bitters";4054.0
"After Dinner";" cherry brandy, crème de prunelle or brandy, lemon juice";4055.0
"After Supper";" Curaçao, apricot flavored brandy, lemon juice";4056.0
"Alberto";" cocktail Sherry, Lillet Blanc, London dry gin, Cointreau";4057.0
"Alexander";" brandy, cream, crème de cacao";4058.0
"Amarosa";" Cora Bitters, kirsch, gin";4059.0
"American Beauty";" brandy, dry vermouth, grenadine, orange juice, crème de menthe";4060.0
"Americano";" sweet vermouth, Campari";4061.0
"Angel's Dream";" whipped cream, Crème Yvette, maraschino liqueur";4062.0
"Angel's Kiss";" cream, crème de cacao";4063.0
"Apple Blossom";" gin, orange juice, Calvados";4064.0
"Applejack Rabbit";" maple syrup, applejack, orange juice, lemon juice";4065.0
"Apple Pie";" sweet vermouth, rum, lemon juice, grenadine, apricot flavored brandy";4066.0
"Approve";" Bourbon or rye whiskey, Curaçao, Angostura bitters";4067.0
"Aprico Secco";" apricot flavored brandy, gin, dry vermouth";4068.0
"Apry";" Canadian Club, Apry, Drambuie, lemon juice";4069.0
"Astoria";" orange bitters";4070.0
"Atlantic";" gin, rum, Cointreau, absinthe";4071.0
"Aurum";" sweet vermouth, gin, Aurum";4072.0
"Autumn Sunset";" Pash, Jamaican rum, Swedish Punch/Punsch";4073.0
"Avenue";" passion fruit nectar, Calvados, Bourbon, orange wheel, grenadine";4074.0
"Aviation";" London dry gin, lemon juice, maraschino liqueur";4075.0
"Bachelor's Downfall";" Forbidden Fruit, Lillet Blanc, brandy";4076.0
"Banana Bliss";" Courvoisier or brandy, banana cordial";4077.0
"Bamboo";" dry vermouth, cocktail Sherry, orange bitters";4078.0
"Barbican";" Vat 69 or whisky, passion fruit nectar, Drambuie";4079.0
"Baronial";" Lillet Blanc, lemon-flavored gin, Cointreau, Angostura bitters";4080.0
"Bentley";" Dubonnet, apple brandy or Calvados";4081.0
"Bermudiana Rose";" London dry gin, lemon juice, grenadine, apricot flavored brandy";4082.0
"Between The Sheets";" rum, Cointreau, brandy, lemon juice";4083.0
"Betty Dighton's Mint";" lemon-flavored gin, orange juice, sprig of mint, Campari";4084.0
"B.I.F.";" Vat 69, Drambuie, Angostura bitters";4085.0
"Bitter Sweet";" London dry gin, apricot flavored brandy, orange juice, Cerasella";4086.0
"Black Hawk";" sloe gin, whisky or rye whiskey";4087.0
"Blackboy";" cream, Curaçao, brandy";4088.0
"Blackstone";" gin, dry vermouth";4089.0
"Blackthorn";" sloe gin, sweet vermouth, orange bitters";4090.0
"Blarney Stone";" dry vermouth, whisky or Irish whiskey, crème de noyeau, Curaçao";4091.0
"Blenton";" Plymouth gin, dry vermouth, Angostura bitters";4092.0
"Blue Barn Farm";" gin, Curaçao, maraschino liqueur, Cointreau";4093.0
"Bluebeard's Passion";" Bourbon, slice of  passion fruit, dry vermouth, Curaçao, Angostura bitters, strawberry syrup";4094.0
"Blue Bird";" vodka, lemon juice, Cointreau, food coloring, maraschino liqueur";4095.0
"Bluebottle";" London dry gin, Pash, Curaçao";4096.0
"Blue Bouquet";" cream, Curaçao, Gordon's Gin, Swedish Punch/Punsch";4097.0
"Blue Fleet";" lemon juice, Curaçao, brandy";4098.0
"Bluejacket";" London dry gin, orange bitters, Curaçao";4099.0
"Blue Lady";" Curaçao, lemon juice, gin, egg";4100.0
"Blue Pete";" orange juice, Lillet Blanc, gin, Curaçao";4101.0
"Blue Riband";" Curaçao, London dry gin, Curaçao";4102.0
"Blue Skies";" London dry gin, Curaçao, lemon juice, Creme of the Sky";4103.0
"Blue Star";" Curaçao, gin, orange juice, Lillet Blanc";4104.0
"Bobby Burns";" Johnnie Walker or Scotch whisky, sweet vermouth, Benedictine";4105.0
"Bon-accord";" cocktail Sherry, London dry gin, Yellow Chartreuse, Aurum";4106.0
"Bonny Scott, The";" Drambuie, Black & White Whisky, passion fruit syrup, Calvados";4107.0
"Boomerang";" Swedish Punch/Punsch, whisky or rye whiskey, dry vermouth, Angostura bitters, lemon juice";4108.0
"Boothonia";" dry vermouth, gin, passion fruit nectar, Amer Picon, lemon juice";4109.0
"Bosom Caresser";" brandy, Curaçao, egg yolk, grenadine";4110.0
"Bourbon";" Benedictine, lemon juice, Bourbon, Angostura bitters, Curaçao";4111.0
"Bourbonella";" Bourbon, Curaçao, dry vermouth, grenadine";4112.0
"Bournemouth Limited";" Lillet Blanc, Vat 69 or whisky, Drambuie";4113.0
"Branaurum";" orange juice, brandy, Aurum, Calvados";4114.0
"Brandy";" brandy, Curaçao, Angostura bitters";4115.0
"Brandy Gump";" brandy, lemon wheel, grenadine";4116.0
"Branksome Special";" London dry gin, sweet vermouth, Campari, Curaçao";4117.0
"Brasserie Special";" Bourbon, triple sec or Cointreau, passion fruit syrup, lemon juice";4118.0
"Breeze";" Curaçao, kirsch, maraschino liqueur, rum, lemon juice";4119.0
"Bridesmaid";" Benedictine, whipped cream or grenadine, lemon juice or orange wheel, grenadine";4120.0
"Bristolian";" Lillet Blanc, gin, Grand Marnier, Aurum";4121.0
"Bronx";" gin, orange juice, sweet vermouth, dry vermouth";4122.0
"Brooklyn";" Canadian Club, dry vermouth, maraschino liqueur, Amer Picon";4123.0
"Brown Lady";" gin, Van der Hum, lemon juice";4124.0
"Brown Rumba";" Bourbon or whisky, pineapple juice, egg, orange syrup";4125.0
"Brown Sugar";" Caperitif, dry vermouth, Curaçao, absinthe";4126.0
"Brut";" dry vermouth, Calisaya bitters, dry vermouth, Amer Picon, Angostura bitters, absinthe";4127.0
"Bucalf";" Canadian Club, crème de menthe, passion fruit nectar, lemon-flavored gin";4128.0
"Bullfighter";" Tequila, Grand Marnier, Hercules";4129.0
"Bullseye";" ginger liqueur, gin, orange juice, lemon juice";4130.0
"B.V.D.";" dry vermouth, London dry gin, rum";4131.0
"Byrrh Special";" gin, Byrrh";4132.0
"Cafe De Paris";" London dry gin, egg white, cream, anisette";4133.0
"Cafe De Parke";" gin, anisette, egg, cream";4134.0
"Cafe Royal Appetiser (appetizer)";" orange wheel, Dubonnet, gin";4135.0
"Cafe Royal Special";" sloe gin, dry vermouth, lemon juice, London dry gin";4136.0
"Calisaya";" Calisaya bitters, Angostura bitters";4137.0
"Calvados";" orange juice, Calvados, orange bitters, Cointreau";4138.0
"Camberley";" London dry gin, Calvados, Grand Marnier, grenadine, orange juice";4139.0
"Canadian Glory";" Canadian Club, Curaçao, apricot flavored brandy, lemon juice";4140.0
"Canvan";" Van der Hum, lemon juice, Canadian Club";4141.0
"Cape";" orange juice, Caperitif, London dry gin";4142.0
"Capetown";" Canadian Club, Caperitif, Curaçao, Angostura bitters";4143.0
"Cartoon";" Angostura bitters or sugar";4144.0
"Celebration";" grapefruit juice, rum, gin, groseille syrup";4145.0
"Celebration Special";" Cointreau, goldwasser, London dry gin, lemon juice";4146.0
"Central Heater";" lemon juice, vodka, Aurum, gin";4147.0
"Cerasella Club";" sweet vermouth, Cerasella, Angostura bitters";4148.0
"Champagne";" Angostura bitters or sugar, orange wheel or Champagne or lemon wheel or ice";4149.0
"Champs Elysees";" Cognac, lemon juice, green Chartreuse, Angostura bitters";4150.0
"Charles";" brandy, sweet vermouth, Angostura bitters";4151.0
"Cherry Blossom";" cherry brandy, brandy, Curaçao, grenadine, lemon juice";4152.0
"Chinese";" Jamaican rum, grenadine, Curaçao, Angostura bitters or maraschino liqueur";4153.0
"Chinese Lady";" lemon-flavored gin, grapefruit juice, Yellow Chartreuse";4154.0
"Chocolate";" Yellow Chartreuse, maraschino liqueur, egg, Curaçao";4155.0
"Claridge";" dry vermouth, London dry gin, apricot flavored brandy, Cointreau";4156.0
"Cliftonian";" gin, Grand Marnier, orange juice, Swedish Punch/Punsch or Cederlund's Caloric Punch";4157.0
"Close Harmony";" Gordon's Gin, Forbidden Fruit or white rum, grenadine, lemon juice";4158.0
"Clover Club";" London dry gin, grenadine, egg white, lemon wheel or lime wheel";4159.0
"Club";" grenadine, Angostura bitters";4160.0
"Clubland";" vodka, Port, Angostura bitters";4161.0
"Coffee (also Called Law's)";" Port, brandy, egg, crème de cacao or Curaçao";4162.0
"Cologne Maiden";" cherry brandy, lemon juice, gin";4163.0
"Combination";" London dry gin, Amer Picon, dry vermouth, Curaçao, lemon juice";4164.0
"Comet";" Lillet Blanc, orange-flavored gin, maraschino liqueur";4165.0
"Commodore";" whisky or rye whiskey, lime juice, orange bitters";4166.0
"Communiqué";" grapefruit juice, Curaçao, gin";4167.0
"Coronation";" dry vermouth, cocktail Sherry, orange bitters, maraschino liqueur";4168.0
"Coronation (cafe Royal)";" apple gin, kirsch, lemon juice, orgeat, egg";4169.0
"Coronation Silvani";" rum, lemon juice, Apry";4170.0
"Coronation Royale";" Dubonnet, Booth's High and Dry, Curaçao";4171.0
"Coronation '37";" lemon juice, rum, Curaçao, gin";4172.0
"Coronian";" brandy, apricot flavored brandy, Swedish Punch/Punsch or Cederlund's Caloric Punch, lemon juice";4173.0
"Corpse Reviver";" lemon juice, orange juice, brandy, grenadine";4174.0
"Cotonian";" dry vermouth, Drambuie, Vat 69 or whisky, Pash";4175.0
"Coue";" London dry gin, sweet vermouth, dry vermouth, cherry brandy, Bourbon or whisky or rye whiskey";4176.0
"Courvoisier";" Courvoisier or Cognac, Curaçao";4177.0
"Craigavon";" Curaçao, Dubonnet, brandy";4178.0
"Crazy Crossing";" Plymouth gin, Dubonnet, Noilly Prat or sweet vermouth, Van der Hum, maraschino liqueur";4179.0
"Creole";" sweet vermouth, absinthe";4180.0
"Crescent";" Bourbon, sweet vermouth, Amer Picon, raspberry syrup";4181.0
"Crow, The";" lemon juice, whisky, grenadine";4182.0
"Crow's Peck";" Swedish Punch/Punsch, gin, Crème Yvette, Van der Hum, peach bitters";4183.0
"Cuban";" brandy, lime juice, apricot flavored brandy";4184.0
"Cuban Manhattan";" sweet vermouth, rum, Angostura bitters";4185.0
"Cuban Shake";" London dry gin, Calvados, rum, L.B.W.";4186.0
"Culross, The";" apricot flavored brandy, rum, Lillet Blanc, lemon wheel";4187.0
"Cupid's Bow";" slice of  passion fruit, Aurum, Forbidden Fruit, gin";4188.0
"Curzon";" grapefruit juice, Courvoisier or brandy, rum, crème de cacao";4189.0
"Daiquiri";" rum, lemon wheel or lime wheel, gomme syrup";4190.0
"Daiquiri Blossom";" rum, orange juice, maraschino liqueur";4191.0
"Daiquiri Grapefruit Blossom";" rum, grapefruit juice, maraschino liqueur";4192.0
"Daiquiri Liberal";" rum, sweet vermouth, Amer Picon";4193.0
"Daiquiri Old-fashioned";" rum, water or sugar, orange bitters, Angostura bitters";4194.0
"Daiquiri Special";" rum, lime wheel, gin, grenadine";4195.0
"Daiqurbon";" rum, Van der Hum, Bourbon, sweet vermouth";4196.0
"Dandy";" Dubonnet, Canadian Club or rye whiskey, orange wheel, lemon wheel, Cointreau, Angostura bitters";4197.0
"Dante";" gin, lime wheel, Forbidden Fruit, cherry brandy or Cherry Heering";4198.0
"Darlington";" gin, lemon juice, dry vermouth or Noilly Prat, Curaçao, Calvados, gomme syrup";4199.0
"Deans, The";" London dry gin, lime juice or Rose's Lime Juice, orange bitters, crème de noyeau";4200.0
"Deansgate";" rum, Drambuie, Rose's Lime Juice";4201.0
"Debutante";" rum, gin, maraschino liqueur, lemon juice, grenadine, cream";4202.0
"Dee Don";" Lillet Blanc, gin, Benedictine, Pash";4203.0
"Depth Charge Brandy";" Calvados, brandy, lemon juice, grenadine";4204.0
"Devil's Own";" Cointreau, dry vermouth, London dry gin, Angostura bitters";4205.0
"Devil's Torch";" dry vermouth, vodka, grenadine";4206.0
"Devon Gem";" gin, pineapple juice, Swedish Punch/Punsch, grenadine, lemon juice";4207.0
"Diki-diki";" Calvados, Swedish Punch/Punsch, grapefruit juice";4208.0
"Doctor";" Swedish Punch/Punsch, lime juice or lemon wheel";4209.0
"Doctor Johnson";" pineapple syrup, gin, lemon juice, passion fruit nectar, egg, grenadine";4210.0
"D.O.M.";" Benedictine, sweet vermouth, Angostura bitters";4211.0
"Donegall, The";" Irish whiskey, dry vermouth, maraschino liqueur, Aurum";4212.0
"Donelli";" rum, Drambuie, orange juice";4213.0
"Dot";" London dry gin, cocktail Sherry, slice of apricot or syrup, Curaçao";4214.0
"Drakensburger";" rum, Van der Hum, Rose's Lime Juice";4215.0
"Dubonnet";" London dry gin, Dubonnet";4216.0
"Dubonnet Royal";" Dubonnet, gin, Curaçao, Angostura bitters";4217.0
"Duce";" London dry gin, orange juice, Aurum";4218.0
"Duchess";" absinthe, sweet vermouth, dry vermouth";4219.0
"Duke";" Drambuie, lemon juice, orange juice, egg";4220.0
"Durban";" sweet vermouth, apricot flavored brandy, brandy, Caperitif, orange bitters";4221.0
"Dusky Maiden";" Canadian Club, Forbidden Fruit, egg, Angostura bitters";4222.0
"Dutchy";" Curaçao, Angostura bitters";4223.0
"Eastern Sin";" cherry brandy, Vat 69 or whisky, sweet vermouth, Cointreau, pineapple slice";4224.0
"East India";" brandy, pineapple juice, Curaçao, Angostura bitters";4225.0
"Eden Special";" lemon wheel or orange wheel, gin, dry vermouth, cherry, Champagne, cherry brandy";4226.0
"Eider Duck";" Grand Marnier, kirsch, Courvoisier or brandy, lemon juice";4227.0
